Key,Section,Priority for native review,English (source),Thai (current — revise this),Thai revised (native fill),Notes
meta.home.title,SEO / meta,Low (SEO),Thai Recall — Speak Thai in real conversations | Android app,Thai Recall — พูดไทยในบทสนทนาจริง | แอปแอนดรอยด์,,
meta.home.desc,SEO / meta,Low (SEO),"Thai Recall helps expats and immersed learners look up Thai phrases, hear native pronunciation in one earbud, speak, and stay in the conversation. Spaced repetition Android app for used language — not textbook drills.",Thai Recall ช่วยชาวต่างชาติและผู้เรียนที่ฝังตัวในไทย ค้นหาวลีไทย ฟังเสียงเจ้าของภาษาในหูฟังข้างเดียว พูดออกไป และอยู่กับบทสนทนาต่อ แอปทบทวนแบบเว้นระยะสำหรับภาษาที่ใช้จริง,,
meta.how.title,SEO / meta,Low (SEO),"How Thai Recall works — look up, listen, speak Thai",วิธีใช้ Thai Recall — ค้นหา ฟัง พูดไทย,,
meta.how.desc,SEO / meta,Low (SEO),"Search the Thai phrase you almost know, hear it in one earbud, repeat it, and continue talking. Optional live lookup, personal library, and spaced repetition for real-life Thai.",ค้นหาวลีไทยที่เกือบจะนึกออก ฟังในหูฟังข้างเดียว พูดตาม แล้วคุยต่อ ค้นหาสดได้ คลังส่วนตัว และการทบทวนแบบเว้นระยะสำหรับไทยในชีวิตจริง,,
meta.pedagogy.title,SEO / meta,Low (SEO),Pedagogy — spaced repetition & used Thai | Thai Recall,ทฤษฎีการเรียนรู้ — ทบทวนเว้นระยะและภาษาไทยที่ใช้จริง | Thai Recall,,
meta.pedagogy.desc,SEO / meta,Low (SEO),"Why Thai Recall uses situational phrases, single-earbud listening, desirable difficulty, and spaced repetition — theory that survives markets, taxis, and temple-side cafés.",ทำไม Thai Recall ใช้วลีตามสถานการณ์ หูฟังข้างเดียว ความยากที่เอื้อต่อการเรียนรู้ และการทบทวนแบบเว้นระยะ — ทฤษฎีที่รอดในตลาด แท็กซี่ และคาเฟ่ใกล้วัด,,
meta.about.title,SEO / meta,Low (SEO),About Graham Osborn — creator of Thai Recall,เกี่ยวกับ Graham Osborn — ผู้สร้าง Thai Recall,,
meta.about.desc,SEO / meta,Low (SEO),"Graham Osborn (MEd Educational Technology & ELT, University of Manchester) built Thai Recall from long-term life in Thailand — a conversation companion for people who already know some Thai.",Graham Osborn (MEd เทคโนโลยีการศึกษาและ ELT มหาวิทยาลัยแมนเชสเตอร์) สร้าง Thai Recall จากชีวิตในไทยระยะยาว — เพื่อนคู่ใจในการสนทนาสำหรับคนที่รู้ไทยอยู่บ้าง,,
meta.download.title,SEO / meta,Low (SEO),Download Thai Recall for Android — pricing & APK,ดาวน์โหลด Thai Recall สำหรับแอนดรอยด์ — ราคาและ APK,,
meta.download.desc,SEO / meta,Low (SEO),Download Thai Recall for Android. Monthly or forever pricing (UK & Thailand). Google Play nearly ready; APK available now for friend testing.,ดาวน์โหลด Thai Recall สำหรับแอนดรอยด์ รายเดือนหรือตลอดชีพ (สหราชอาณาจักรและไทย) Google Play ใกล้พร้อม — มี APK สำหรับทดลองตอนนี้,,
meta.privacy.title,SEO / meta,Low (SEO),Privacy — Thai Recall,ความเป็นส่วนตัว — Thai Recall,,
meta.privacy.desc,SEO / meta,Low (SEO),"How Thai Recall handles phrase lookups, on-device storage, and what we do not sell. Website privacy summary for thairecall.com.",Thai Recall จัดการการค้นหาวลี การจัดเก็บบนเครื่อง และสิ่งที่เราไม่ขายอย่างไร สรุปความเป็นส่วนตัวของเว็บ thairecall.com,,
meta.app-privacy.title,SEO / meta,Low (SEO),ThaiRecall Privacy Policy — Android app,นโยบายความเป็นส่วนตัว ThaiRecall — แอปแอนดรอยด์,,
meta.app-privacy.desc,SEO / meta,Low (SEO),"Privacy Policy for the Thai Recall Android app: local storage, lookups, permissions, Google Play Billing, and third-party services.",นโยบายความเป็นส่วนตัวสำหรับแอปแอนดรอยด์ Thai Recall: จัดเก็บบนเครื่อง การค้นหา สิทธิ์ Google Play Billing และบริการบุคคลที่สาม,,
nav.menu,Navigation,Low (UI short),Menu,เมนู,,
nav.home,Navigation,Low (UI short),Home,หน้าแรก,,
nav.try,Navigation,Low (UI short),Try it out,ลองใช้,,
nav.how,Navigation,Low (UI short),How it works,วิธีใช้,,
nav.pedagogy,Navigation,Low (UI short),Pedagogy,ทฤษฎี,,
nav.about,Navigation,Low (UI short),About,เกี่ยวกับ,,
nav.pricing,Navigation,Low (UI short),Pricing,ราคา,,
nav.download,Navigation,Low (UI short),Download,ดาวน์โหลด,,
nav.aria,Navigation,Low (UI short),Primary,เมนูหลัก,,
lang.aria,Language,Low (UI short),Language,ภาษา,,
home.productTag,Home,Medium,Android now · iOS & Windows planned,แอนดรอยด์พร้อมใช้ · มีแผน iOS และ Windows,,
home.heroLine,Home,High (brand voice),Recall the Thai phrase. Say it. Stay in the conversation.,นึกวลีไทยได้ พูดออกไป อยู่กับบทสนทนาต่อ,,
home.heroSupport,Home,High (brand voice),"Thai Recall is not a full translator. It is a conversation companion for people who already know some Thai — look up the missing phrase, hear it in one earbud, speak it, and keep talking.",Thai Recall ไม่ใช่ตัวแปลทั้งบทสนทนา แต่เป็นเพื่อนคู่ใจสำหรับคนที่รู้ไทยอยู่บ้าง — ค้นหาวลีที่ขาด ฟังในหูฟังข้างเดียว พูดตาม แล้วคุยต่อได้,,
home.ctaApp,Home,Low (UI short),Get the app,ดาวน์โหลดแอป,,
home.ctaWhat,Home,Low (UI short),What you get,ได้อะไรบ้าง,,
home.sellEyebrow,Home,High (brand voice),What is this?,นี่คืออะไร?,,
home.sellH,Home,High (brand voice),An Android app that helps you speak Thai in real life.,แอปแอนดรอยด์ที่ช่วยให้พูดไทยได้ในชีวิตจริง,,
home.sellLead,Home,High (brand voice),"When one word disappears mid-chat — at a café, in a taxi, near a temple — Thai Recall helps you find that phrase, hear native audio, repeat it, and continue. Built for expats, partners, and long-term visitors — not for translating every sentence as a beginner tourist.",เมื่อคำหนึ่งหายไปกลางคุย — ที่คาเฟ่ ในแท็กซี่ ใกล้วัด — Thai Recall ช่วยหาวลีนั้น ฟังเสียงเจ้าของภาษา พูดตาม แล้วคุยต่อได้ ออกแบบสำหรับชาวต่างชาติ คู่รัก และผู้มาเยือนระยะยาว — ไม่ใช่สำหรับนักท่องเที่ยวมือใหม่ที่ต้องแปลทุกประโยค,,
home.sellP,Home,High (brand voice),Search → Listen → Repeat → Continue. Offline access to phrases you’ve saved. Optional live lookup when something isn’t in your library yet. Spaced repetition to lock phrases in.,ค้นหา → ฟัง → พูดตาม → พูดต่อ เข้าถึงวลีที่บันทึกแบบออฟไลน์ ค้นหาสดเมื่อยังไม่มีในคลัง ทบทวนแบบเว้นระยะเพื่อล็อกความจำ,,
home.buyTag,Home,Medium,What’s included,สิ่งที่รวมอยู่,,
home.buy1,Home,Medium,Personal phrase library on your phone,คลังวลีส่วนตัวบนมือถือ,,
home.buy2,Home,Medium,Listen & speak with one earbud,ฟังและพูดด้วยหูฟังข้างเดียว,,
home.buy3,Home,Medium,Curated packs + your own saves,ชุดที่คัดสรร + วลีที่คุณบันทึกเอง,,
home.buy4,Home,Medium,Spaced Repetition practice,ฝึกทบทวนแบบเว้นระยะ,,
home.buyCta,Home,Low (UI short),Go to download,ไปหน้าดาวน์โหลด,,
home.priceLink,Home,Low (UI short),See pricing,ดูราคา,,
home.flowSearch,Home,Low (UI short),Search,ค้นหา,,
home.flowSearchD,Home,Low (UI short),Find the phrase you almost know.,เจอวลีที่คุณเกือบจะนึกออก,,
home.flowListen,Home,Low (UI short),Listen,ฟัง,,
home.flowListenD,Home,Low (UI short),Hear native Thai in one earbud.,ฟังเสียงไทยแท้ในหูฟังข้างเดียว,,
home.flowRepeat,Home,Low (UI short),Repeat,พูดตาม,,
home.flowRepeatD,Home,Low (UI short),Say it yourself — stay present.,พูดเอง — ยังอยู่กับสถานการณ์จริง,,
home.flowContinue,Home,Low (UI short),Continue,พูดต่อ,,
home.flowContinueD,Home,Low (UI short),The conversation never stops.,บทสนทนาไม่สะดุด,,
home.probEyebrow,Home,High (brand voice),The problem,ปัญหา,,
home.probH,Home,High (brand voice),You understand more than you can say in time.,เข้าใจได้มากกว่าที่พูดทัน,,
home.probLead,Home,High (brand voice),Most learners eventually understand far more Thai than they can actively recall. One missing phrase arrives at exactly the wrong moment — and the moment moves on.,ผู้เรียนหลายคนเข้าใจภาษาไทยได้มาก แต่เรียกใช้คำพูดจริงไม่ทัน วลีที่ขาดไปโผล่ตอนสำคัญที่สุด — แล้วจังหวะก็ผ่านไป,,
home.probP,Home,High (brand voice),"Thai Recall helps you continue speaking. Look up what you need, hear it once, repeat it, and stay with the person in front of you.",Thai Recall ช่วยให้คุณพูดต่อได้ ค้นหาสิ่งที่ต้องการ ฟังครั้งเดียว พูดตาม แล้วอยู่กับคนตรงหน้า,,
home.usedEyebrow,Home,High (brand voice),Used language,ภาษาที่ใช้จริง,,
home.usedH,Home,High (brand voice),This is not learned language. This is used language.,นี่ไม่ใช่ภาษาในห้องเรียน นี่คือภาษาที่ใช้จริง,,
home.usedLead,Home,High (brand voice),"One earbud keeps you in the room. High-fidelity Thai plays while your other ear stays open to the café, the market, the person speaking.",หูฟังข้างเดียวให้คุณยังอยู่ในห้อง เสียงไทยชัดดังขึ้น ในขณะที่อีกข้างเปิดรับคาเฟ่ ตลาด และคนที่กำลังพูด,,
home.usedP,Home,High (brand voice),"Built for expats, partners, retirees, and long-term visitors who already have vocabulary — and need speed when life is loud.",ออกแบบสำหรับชาวต่างชาติ คู่รัก ผู้เกษียณ และผู้มาเยือนระยะยาวที่มีคลังคำแล้ว — แต่ต้องการความเร็วเมื่อชีวิตดังและเร็ว,,
home.appEyebrow,Home,Medium,Inside the app,ในแอป,,
home.appH,Home,Medium,Real screens from Thai Recall,หน้าจอจริงจาก Thai Recall,,
home.appLead,Home,Medium,"Lookup, save, spaced repetition — captured from the Android build you’ll download.",ค้นหา บันทึก ทบทวนแบบเว้นระยะ — จากตัวแอปแอนดรอยด์ที่คุณจะดาวน์โหลด,,
home.cap1,Home,Medium,Live lookup → Thai + pronunciation,ค้นหาสด → ไทย + วิธีอ่าน,,
home.cap2,Home,Medium,Spaced Repetition memory challenges,ทดสอบความจำแบบทบทวนเว้นระยะ,,
home.cap3,Home,Medium,Saved library & favourites,คลังที่บันทึกและรายการโปรด,,
home.clipH,Home,Medium,Lookup → Immigration phrase,ค้นหา → วลีหมวด Immigration,,
